# Intensity Error [H,0,0] [0,K,0] [0,0,L] DeltaE
#  shape: 60x80x1x1
nan nan -2.850000e+00 -3.550000e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -3.450001e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -3.350001e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -3.250001e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -3.150001e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -3.050001e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -2.950001e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -2.850001e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -2.750001e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -2.650001e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -2.550001e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -2.450001e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -2.350002e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -2.250002e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -2.150002e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -2.050002e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -1.950002e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -1.850002e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -1.750002e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -1.650002e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -1.550002e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -1.450002e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -1.350003e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -1.250003e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -1.150003e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -1.050003e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -9.500029e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -8.500030e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -7.500031e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -6.500032e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -5.500033e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -4.500034e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -3.500035e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -2.500036e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -1.500037e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 -5.000377e-02 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 4.999614e-02 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 1.499960e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 2.499959e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 3.499959e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 4.499958e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 5.499957e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 6.499956e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 7.499955e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 8.499954e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 9.499953e-01 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 1.049995e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 1.149995e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 1.249995e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 1.349995e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 1.449995e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 1.549995e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 1.649995e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 1.749995e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 1.849994e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 1.949994e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 2.049994e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 2.149994e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 2.249994e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 2.349994e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 2.449994e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 2.549994e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 2.649994e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 2.749994e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 2.849993e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 2.949993e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 3.049993e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 3.149993e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 3.249993e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 3.349993e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 3.449993e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 3.549993e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 3.649993e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 3.749993e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 3.849993e+00 0.000000e+00 3.000000e+01
nan nan -2.850000e+00 3.949992e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -3.950000e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -3.850000e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -3.750000e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -3.650000e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -3.550000e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -3.450001e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -3.350001e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -3.250001e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -3.150001e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -3.050001e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -2.950001e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -2.850001e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -2.750001e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -2.650001e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -2.550001e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -2.450001e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -2.350002e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -2.250002e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -2.150002e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -2.050002e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -1.950002e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -1.850002e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -1.750002e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -1.650002e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -1.550002e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -1.450002e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -1.350003e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -1.250003e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -1.150003e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -1.050003e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -9.500029e-01 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -8.500030e-01 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -7.500031e-01 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -6.500032e-01 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -5.500033e-01 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 -4.500034e-01 0.000000e+00 3.000000e+01
0.000000e+00 0.000000e+00 -2.750000e+00 -3.500035e-01 0.000000e+00 3.000000e+01
0.000000e+00 0.000000e+00 -2.750000e+00 -2.500036e-01 0.000000e+00 3.000000e+01
0.000000e+00 0.000000e+00 -2.750000e+00 -1.500037e-01 0.000000e+00 3.000000e+01
7.523275e-05 7.523275e-05 -2.750000e+00 -5.000377e-02 0.000000e+00 3.000000e+01
0.000000e+00 0.000000e+00 -2.750000e+00 4.999614e-02 0.000000e+00 3.000000e+01
1.027696e-04 1.027696e-04 -2.750000e+00 1.499960e-01 0.000000e+00 3.000000e+01
0.000000e+00 0.000000e+00 -2.750000e+00 2.499959e-01 0.000000e+00 3.000000e+01
0.000000e+00 0.000000e+00 -2.750000e+00 3.499959e-01 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 4.499958e-01 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 5.499957e-01 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 6.499956e-01 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 7.499955e-01 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 8.499954e-01 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 9.499953e-01 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 1.049995e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 1.149995e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 1.249995e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 1.349995e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 1.449995e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 1.549995e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 1.649995e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 1.749995e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 1.849994e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 1.949994e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 2.049994e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 2.149994e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 2.249994e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 2.349994e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 2.449994e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 2.549994e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 2.649994e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 2.749994e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 2.849993e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 2.949993e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 3.049993e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 3.149993e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 3.249993e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 3.349993e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 3.449993e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 3.549993e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 3.649993e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 3.749993e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 3.849993e+00 0.000000e+00 3.000000e+01
nan nan -2.750000e+00 3.949992e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -3.950000e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -3.850000e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -3.750000e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -3.650000e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -3.550000e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -3.450001e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -3.350001e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -3.250001e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -3.150001e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -3.050001e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -2.950001e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -2.850001e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -2.750001e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -2.650001e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -2.550001e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -2.450001e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -2.350002e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -2.250002e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -2.150002e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -2.050002e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -1.950002e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -1.850002e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -1.750002e+00 0.000000e+00 3.000000e+01
nan nan -2.650000e+00 -1.650002e+00 0.000000e+00 3.000000e+01
